customer_id,first_name,last_name,email,phone,ssn,date_of_birth,address,customer_since,loyalty_tier,annual_income
CUST0023,First23,Last23,customer23@example.com,555-1023,123-43-3023,1981-11-21,"123 Main St, City23, State23, 10023",2020-08-18,Gold,73000
CUST0024,First24,Last24,customer24@example.com,555-1024,124-44-3024,1981-12-21,"124 Main St, City24, State24, 10024",2020-08-28,Bronze,74000
CUST0025,First25,Last25,customer25@example.com,555-1025,125-45-3025,1982-01-20,"125 Main St, City25, State25, 10025",2020-09-07,Silver,75000
CUST0026,First26,Last26,customer26@example.com,555-1026,126-46-3026,1982-02-19,"126 Main St, City26, State26, 10026",2020-09-17,Gold,76000
CUST0027,First27,Last27,customer27@example.com,555-1027,127-47-3027,1982-03-21,"127 Main St, City27, State27, 10027",2020-09-27,Bronze,77000
CUST0028,First28,Last28,customer28@example.com,555-1028,128-48-3028,1982-04-20,"128 Main St, City28, State28, 10028",2020-10-07,Silver,78000
CUST0029,First29,Last29,customer29@example.com,555-1029,129-49-3029,1982-05-20,"129 Main St, City29, State29, 10029",2020-10-17,Gold,79000
CUST0030,First30,Last30,customer30@example.com,555-1030,130-50-3030,1982-06-19,"130 Main St, City30, State30, 10030",2020-10-27,Bronze,80000
CUST0031,First31,Last31,customer31@example.com,555-1031,131-51-3031,1982-07-19,"131 Main St, City31, State31, 10031",2020-11-06,Silver,81000
CUST0032,First32,Last32,customer32@example.com,555-1032,132-52-3032,1982-08-18,"132 Main St, City32, State32, 10032",2020-11-16,Gold,82000
CUST0033,First33,Last33,customer33@example.com,555-1033,133-53-3033,1982-09-17,"133 Main St, City33, State33, 10033",2020-11-26,Bronze,83000
CUST0034,First34,Last34,customer34@example.com,555-1034,134-54-3034,1982-10-17,"134 Main St, City34, State34, 10034",2020-12-06,Silver,84000
CUST0035,First35,Last35,customer35@example.com,555-1035,135-55-3035,1982-11-16,"135 Main St, City35, State35, 10035",2020-12-16,Gold,85000
CUST0036,First36,Last36,customer36@example.com,555-1036,136-56-3036,1982-12-16,"136 Main St, City36, State36, 10036",2020-12-26,Bronze,86000
CUST0037,First37,Last37,customer37@example.com,555-1037,137-57-3037,1983-01-15,"137 Main St, City37, State37, 10037",2021-01-05,Silver,87000
CUST0038,First38,Last38,customer38@example.com,555-1038,138-58-3038,1983-02-14,"138 Main St, City38, State38, 10038",2021-01-15,Gold,88000
CUST0039,First39,Last39,customer39@example.com,555-1039,139-59-3039,1983-03-16,"139 Main St, City39, State39, 10039",2021-01-25,Bronze,89000
CUST0040,First40,Last40,customer40@example.com,555-1040,140-60-3040,1983-04-15,"140 Main St, City40, State40, 10040",2021-02-04,Silver,90000
CUST0041,First41,Last41,customer41@example.com,555-1041,141-61-3041,1983-05-15,"141 Main St, City41, State41, 10041",2021-02-14,Gold,91000
CUST0042,First42,Last42,customer42@example.com,555-1042,142-62-3042,1983-06-14,"142 Main St, City42, State42, 10042",2021-02-24,Bronze,92000
CUST0043,First43,Last43,customer43@example.com,555-1043,143-63-3043,1983-07-14,"143 Main St, City43, State43, 10043",2021-03-06,Silver,93000
CUST0044,First44,Last44,customer44@example.com,555-1044,144-64-3044,1983-08-13,"144 Main St, City44, State44, 10044",2021-03-16,Gold,94000
CUST0045,First45,Last45,customer45@example.com,555-1045,145-65-3045,1983-09-12,"145 Main St, City45, State45, 10045",2021-03-26,Bronze,95000
CUST0046,First46,Last46,customer46@example.com,555-1046,146-66-3046,1983-10-12,"146 Main St, City46, State46, 10046",2021-04-05,Silver,96000
CUST0047,First47,Last47,customer47@example.com,555-1047,147-67-3047,1983-11-11,"147 Main St, City47, State47, 10047",2021-04-15,Gold,97000
CUST0048,First48,Last48,customer48@example.com,555-1048,148-68-3048,1983-12-11,"148 Main St, City48, State48, 10048",2021-04-25,Bronze,98000
CUST0049,First49,Last49,customer49@example.com,555-1049,149-69-3049,1984-01-10,"149 Main St, City49, State49, 10049",2021-05-05,Silver,99000
CUST0050,First50,Last50,customer50@example.com,555-1050,150-70-3050,1984-02-09,"150 Main St, City50, State0, 10050",2021-05-15,Gold,100000
CUST0051,First51,Last51,customer51@example.com,555-1051,151-71-3051,1984-03-10,"151 Main St, City51, State1, 10051",2021-05-25,Bronze,101000
CUST0052,First52,Last52,customer52@example.com,555-1052,152-72-3052,1984-04-09,"152 Main St, City52, State2, 10052",2021-06-04,Silver,102000
CUST0053,First53,Last53,customer53@example.com,555-1053,153-73-3053,1984-05-09,"153 Main St, City53, State3, 10053",2021-06-14,Gold,103000
CUST0054,First54,Last54,customer54@example.com,555-1054,154-74-3054,1984-06-08,"154 Main St, City54, State4, 10054",2021-06-24,Bronze,104000
CUST0055,First55,Last55,customer55@example.com,555-1055,155-75-3055,1984-07-08,"155 Main St, City55, State5, 10055",2021-07-04,Silver,105000
CUST0056,First56,Last56,customer56@example.com,555-1056,156-76-3056,1984-08-07,"156 Main St, City56, State6, 10056",2021-07-14,Gold,106000
CUST0057,First57,Last57,customer57@example.com,555-1057,157-77-3057,1984-09-06,"157 Main St, City57, State7, 10057",2021-07-24,Bronze,107000
CUST0058,First58,Last58,customer58@example.com,555-1058,158-78-3058,1984-10-06,"158 Main St, City58, State8, 10058",2021-08-03,Silver,108000
CUST0059,First59,Last59,customer59@example.com,555-1059,159-79-3059,1984-11-05,"159 Main St, City59, State9, 10059",2021-08-13,Gold,109000
CUST0060,First60,Last60,customer60@example.com,555-1060,160-80-3060,1984-12-05,"160 Main St, City60, State10, 10060",2021-08-23,Bronze,110000
CUST0061,First61,Last61,customer61@example.com,555-1061,161-81-3061,1985-01-04,"161 Main St, City61, State11, 10061",2021-09-02,Silver,111000
CUST0062,First62,Last62,customer62@example.com,555-1062,162-82-3062,1985-02-03,"162 Main St, City62, State12, 10062",2021-09-12,Gold,112000
CUST0063,First63,Last63,customer63@example.com,555-1063,163-83-3063,1985-03-05,"163 Main St, City63, State13, 10063",2021-09-22,Bronze,113000
CUST0064,First64,Last64,customer64@example.com,555-1064,164-84-3064,1985-04-04,"164 Main St, City64, State14, 10064",2021-10-02,Silver,114000
CUST0065,First65,Last65,customer65@example.com,555-1065,165-85-3065,1985-05-04,"165 Main St, City65, State15, 10065",2021-10-12,Gold,115000
CUST0066,First66,Last66,customer66@example.com,555-1066,166-86-3066,1985-06-03,"166 Main St, City66, State16, 10066",2021-10-22,Bronze,116000
CUST0067,First67,Last67,customer67@example.com,555-1067,167-87-3067,1985-07-03,"167 Main St, City67, State17, 10067",2021-11-01,Silver,117000
CUST0068,First68,Last68,customer68@example.com,555-1068,168-88-3068,1985-08-02,"168 Main St, City68, State18, 10068",2021-11-11,Gold,118000
CUST0069,First69,Last69,customer69@example.com,555-1069,169-89-3069,1985-09-01,"169 Main St, City69, State19, 10069",2021-11-21,Bronze,119000
CUST0070,First70,Last70,customer70@example.com,555-1070,170-90-3070,1985-10-01,"170 Main St, City70, State20, 10070",2021-12-01,Silver,120000
CUST0071,First71,Last71,customer71@example.com,555-1071,171-91-3071,1985-10-31,"171 Main St, City71, State21, 10071",2021-12-11,Gold,121000
CUST0072,First72,Last72,customer72@example.com,555-1072,172-92-3072,1985-11-30,"172 Main St, City72, State22, 10072",2021-12-21,Bronze,122000
CUST0073,First73,Last73,customer73@example.com,555-1073,173-93-3073,1985-12-30,"173 Main St, City73, State23, 10073",2021-12-31,Silver,123000
CUST0074,First74,Last74,customer74@example.com,555-1074,174-94-3074,1986-01-29,"174 Main St, City74, State24, 10074",2022-01-10,Gold,124000
CUST0075,First75,Last75,customer75@example.com,555-1075,175-95-3075,1986-02-28,"175 Main St, City75, State25, 10075",2022-01-20,Bronze,125000
CUST0076,First76,Last76,customer76@example.com,555-1076,176-96-3076,1986-03-30,"176 Main St, City76, State26, 10076",2022-01-30,Silver,126000
CUST0077,First77,Last77,customer77@example.com,555-1077,177-97-3077,1986-04-29,"177 Main St, City77, State27, 10077",2022-02-09,Gold,127000
CUST0078,First78,Last78,customer78@example.com,555-1078,178-98-3078,1986-05-29,"178 Main St, City78, State28, 10078",2022-02-19,Bronze,128000
CUST0079,First79,Last79,customer79@example.com,555-1079,179-99-3079,1986-06-28,"179 Main St, City79, State29, 10079",2022-03-01,Silver,129000
CUST0080,First80,Last80,customer80@example.com,555-1080,180-100-3080,1986-07-28,"180 Main St, City80, State30, 10080",2022-03-11,Gold,130000
CUST0081,First81,Last81,customer81@example.com,555-1081,181-101-3081,1986-08-27,"181 Main St, City81, State31, 10081",2022-03-21,Bronze,131000
CUST0082,First82,Last82,customer82@example.com,555-1082,182-102-3082,1986-09-26,"182 Main St, City82, State32, 10082",2022-03-31,Silver,132000
CUST0083,First83,Last83,customer83@example.com,555-1083,183-103-3083,1986-10-26,"183 Main St, City83, State33, 10083",2022-04-10,Gold,133000
CUST0084,First84,Last84,customer84@example.com,555-1084,184-104-3084,1986-11-25,"184 Main St, City84, State34, 10084",2022-04-20,Bronze,134000
CUST0085,First85,Last85,customer85@example.com,555-1085,185-105-3085,1986-12-25,"185 Main St, City85, State35, 10085",2022-04-30,Silver,135000
CUST0086,First86,Last86,customer86@example.com,555-1086,186-106-3086,1987-01-24,"186 Main St, City86, State36, 10086",2022-05-10,Gold,136000
CUST0087,First87,Last87,customer87@example.com,555-1087,187-107-3087,1987-02-23,"187 Main St, City87, State37, 10087",2022-05-20,Bronze,137000
CUST0088,First88,Last88,customer88@example.com,555-1088,188-108-3088,1987-03-25,"188 Main St, City88, State38, 10088",2022-05-30,Silver,138000
CUST0089,First89,Last89,customer89@example.com,555-1089,189-109-3089,1987-04-24,"189 Main St, City89, State39, 10089",2022-06-09,Gold,139000
CUST0090,First90,Last90,customer90@example.com,555-1090,190-110-3090,1987-05-24,"190 Main St, City90, State40, 10090",2022-06-19,Bronze,140000
CUST0091,First91,Last91,customer91@example.com,555-1091,191-111-3091,1987-06-23,"191 Main St, City91, State41, 10091",2022-06-29,Silver,141000
CUST0092,First92,Last92,customer92@example.com,555-1092,192-112-3092,1987-07-23,"192 Main St, City92, State42, 10092",2022-07-09,Gold,142000
CUST0093,First93,Last93,customer93@example.com,555-1093,193-113-3093,1987-08-22,"193 Main St, City93, State43, 10093",2022-07-19,Bronze,143000
CUST0094,First94,Last94,customer94@example.com,555-1094,194-114-3094,1987-09-21,"194 Main St, City94, State44, 10094",2022-07-29,Silver,144000
CUST0095,First95,Last95,customer95@example.com,555-1095,195-115-3095,1987-10-21,"195 Main St, City95, State45, 10095",2022-08-08,Gold,145000
CUST0096,First96,Last96,customer96@example.com,555-1096,196-116-3096,1987-11-20,"196 Main St, City96, State46, 10096",2022-08-18,Bronze,146000
CUST0097,First97,Last97,customer97@example.com,555-1097,197-117-3097,1987-12-20,"197 Main St, City97, State47, 10097",2022-08-28,Silver,147000
CUST0098,First98,Last98,customer98@example.com,555-1098,198-118-3098,1988-01-19,"198 Main St, City98, State48, 10098",2022-09-07,Gold,148000
CUST0099,First99,Last99,customer99@example.com,555-1099,199-119-3099,1988-02-18,"199 Main St, City99, State49, 10099",2022-09-17,Bronze,149000
CUST0100,First100,Last100,customer100@example.com,555-1100,200-120-3100,1988-03-19,"200 Main St, City100, State0, 10100",2022-09-27,Silver,150000
